name,state,par_mean,par_median
"California State University, Long Beach",CA,116773.1328461471,85800
"California State University, Los Angeles",CA,52114.62349003956,36600
"California State University, Monterey Bay",CA,123045.0469718492,93200
"California State University, Northridge",CA,84829.51676815747,61100
"California State University, San Bernardino",CA,82251.9872987518,69800
"California State University, San Marcos",CA,128226.3447669037,93600
"California State University, Stanislaus",CA,83972.02921158099,72300
California University Of Pennsylvania,PA,81707.01576435962,73800
Calvin College,MI,158432.8570339827,111500
Cambria Rowe Business College,PA,53077.62807904412,46800
Camden County College,NJ,84978.57228073335,74000
Cameron University,OK,62172.3125762514,56400
Campbell University,NC,88538.40074162137,69900
Campbellsville University,KY,81438.703125,68100
Canisius College,NY,121289.8097682172,94200
Cape Cod Community College,MA,88195.67496194181,67700
Cape Fear Community College,NC,99258.46880257723,70800
Capital Area Technical College,LA,56711.81770833334,44300
Capital Community College,CT,57093.28588163688,46200
Capital University,OH,100713.1128922686,84100
Capri Institute Of Hair Design,NJ,88817.82214245496,73100
Cardinal Stritch University,WI,98632.305583697,88400
Carl Albert State College,OK,53883.0296208874,45700
Carl Sandburg College,IL,64202.55598958334,59300
Carleton College,MN,258017.3434192518,152000
Carlow University,PA,84554.05997340426,66100
Carnegie Mellon University,PA,221109.1144221844,134400
Carrington College California,CA,59022.17317708334,47900
"Carrington College of Mesa, AZ",AZ,53505.63020833334,40200
"Carrington College of Spokane Valley, WA",WA,60433.70963541666,46500
Carroll College,MT,127585.140625,89700
Carroll Community College,MD,98088.84285234255,92100
Carroll University,WI,127266.453943567,95000
Carson - Newman University,TN,104330.2859616624,79100
Carteret Community College,NC,64074.68568239796,50300
Carthage College,WI,137183.9071005779,101600
Cascadia Community College,WA,128951.5745614035,97300
Case Western Reserve University,OH,166132.0250816612,118200
Casper College,WY,81143.84787444652,68000
Catawba College,NC,109748.8177083333,94000
Catawba Valley Community College,NC,72115.67584134615,63800
Catholic University Of America ,DC,187760.4098711223,133000
Cayuga Community College - SUNY Office Of Community College,NY,69391.90452058606,64300
Cazenovia College,NY,95134.14936266448,64200
Cecil College,MD,80102.8359375,76500
Cedarville University,OH,137350.9575759319,99500
Centenary College,NJ,128253.9996663003,94300
Centenary College Of Louisiana,LA,152373.3074084052,100300
Center For Employment Training,CA,39084.00911458334,29300
Central Arizona College,AZ,65594.20756446145,53400
Central Carolina Community College,NC,63738.59620633188,57000
Central Carolina Technical College,SC,51362.61869089227,40600
Central College,IA,110612.7750380028,87700
Central Community College,NE,62759.3193256184,56600
Central Connecticut State University,CT,104581.3844981545,93300
Central Georgia Technical College,GA,47888.52473958334,33600
Central Methodist University,MO,77169.68937852647,66000
Central Michigan University,MI,112044.4631695297,98300
Central New Mexico Community College,NM,66972.26994225706,54500
Central Ohio Technical College,OH,66213.68552371541,62200
Central Oregon Community College,OR,97126.7740784368,68200
Central Penn College,PA,72336.4697737069,66800
Central Piedmont Community College,NC,92559.54673416428,71200
Central State University,OH,52515.04200442512,40300
Central Texas College District,TX,61043.82604308044,51800
Central Virginia Community College,VA,78032.30586124801,68600
Central Washington University,WA,115641.1130665486,97100
Central Wyoming College,WY,67205.53057160364,52100
