unitid,institution,year,tuition_fees,full_time_ug_enrollment,pct_asian,pct_black,pct_hispanic,pct_native,pct_white,in_state_ug_num,in_state_ug_pct,out_of_state_ug_num,out_of_state_ug_pct,foreign_ug_num,foreign_ug_pct,pct_admitted,yield,pct_pell,xpgrnt_p
216339,Temple University,2023,22082.0,19944,15,16,9,0,45,,,,,,,83.0,12.0,33.0,R
217156,Brown University,2023,68230.0,7220,17,8,11,0,32,58.0,3.0,1372.0,81.0,262.0,15.0,5.0,63.0,14.0,R
218335,Medical University of South Carolina,2023,,269,8,9,6,0,68,,,,,,,,,,A
218645,University of South Carolina Aiken,2023,10760.0,2441,2,21,8,0,61,543.0,88.0,66.0,11.0,4.0,1.0,80.0,27.0,48.0,R
221759,The University of Tennessee-Knoxville,2023,13484.0,27851,3,4,6,0,77,3859.0,58.0,2773.0,41.0,62.0,1.0,46.0,29.0,17.0,R
221999,Vanderbilt University,2023,63946.0,7087,13,9,10,0,46,203.0,13.0,1222.0,75.0,188.0,12.0,6.0,57.0,22.0,R
223223,Baylor College of Medicine,2023,,0,23,7,15,0,40,,,,,,,,,,
228778,The University of Texas at Austin,2023,11678.0,39787,22,5,25,0,33,8219.0,88.0,803.0,9.0,338.0,4.0,29.0,49.0,27.0,R
229300,The University of Texas Health Science Center at Houston,2023,,405,20,11,18,0,30,,,,,,,,,,A
230764,University of Utah,2023,9315.0,22374,6,1,13,0,61,,,,,,,87.0,28.0,18.0,R
233897,University of Virginia's College at Wise,2023,11656.0,1219,2,9,1,0,51,216.0,74.0,73.0,25.0,0.0,0.0,94.0,22.0,50.0,R
234030,Virginia Commonwealth University,2023,16458.0,18595,13,19,10,0,42,4150.0,92.0,276.0,6.0,62.0,1.0,93.0,25.0,33.0,R
236948,University of Washington-Seattle Campus,2023,12643.0,29863,20,3,8,0,31,,,,,,,43.0,26.0,17.0,R
239169,Medical College of Wisconsin,2023,,0,14,6,10,0,56,,,,,,,,,,
240444,University of Wisconsin-Madison,2023,11205.0,34278,9,3,8,0,57,3783.0,48.0,3498.0,44.0,675.0,8.0,43.0,29.0,17.0,R
243744,Stanford University,2023,62484.0,7841,22,6,13,0,25,629.0,37.0,800.0,47.0,269.0,16.0,4.0,81.0,20.0,R
262086,University of Massachusetts Global,2023,12520.0,1998,5,12,6,1,55,,,,,,,,,43.0,R
